Date,Region,City,Customer Type,Channel,Product,Category,Unit Price,Quantity,Sales Rep,Cost Price
2025-01-06,West,Kano,Corporate,Online,Laptop A13,Electronics,420000,9,David,336000
2025-02-20,East,Lagos,Retail,Online,Refrigerator R55,Home Appliances,220000,8,Aisha,176000
2025-01-02,South,Port Harcourt,Retail,Online,Office Chair Pro,Furniture,85000,10,Peter,68000
2025-02-13,West,Kano,Corporate,Online,Printer P50,Electronics,150000,4,Chidinma,120000
2025-01-20,East,Lagos,Corporate,Store,Smartphone Z10,Electronics,250000,1,Musa,200000
2025-03-19,South,Lagos,Retail,Online,Blender B10,Home Appliances,30000,10,Musa,24000
2025-03-05,South,Lagos,Corporate,Online,Laptop A13,Electronics,420000,4,David,336000
2025-03-07,East,Lagos,Retail,Store,Office Chair Pro,Furniture,85000,2,Peter,68000
2025-03-28,East,Lagos,Retail,Online,Refrigerator R55,Home Appliances,220000,1,Musa,176000
2025-01-14,West,Port Harcourt,Retail,Store,Air Conditioner X2,Home Appliances,180000,9,Grace,144000
2025-04-15,West,Kano,Retail,Store,Smartphone Z10,Electronics,250000,6,Chidinma,200000
2025-04-16,West,Port Harcourt,Retail,Store,Air Conditioner X2,Home Appliances,180000,3,Grace,144000
2025-02-05,South,Port Harcourt,Corporate,Online,Microwave M20,Home Appliances,60000,8,Peter,48000
2025-04-10,North,Port Harcourt,Retail,Online,Microwave M20,Home Appliances,60000,3,Chidinma,48000
2025-03-31,West,Kano,Corporate,Online,Blender B10,Home Appliances,30000,8,Musa,24000
2025-01-09,South,Lagos,Retail,Store,Microwave M20,Home Appliances,60000,4,Grace,48000
2025-02-19,South,Port Harcourt,Corporate,Store,Blender B10,Home Appliances,30000,3,David,24000
2025-02-17,East,Kano,Retail,Online,Air Conditioner X2,Home Appliances,180000,5,Musa,144000
2025-04-21,North,Port Harcourt,Retail,Store,Refrigerator R55,Home Appliances,220000,3,Grace,176000
2025-04-21,West,Lagos,Retail,Online,Microwave M20,Home Appliances,60000,4,Aisha,48000
2025-04-13,North,Port Harcourt,Corporate,Online,Office Chair Pro,Furniture,85000,1,Aisha,68000
2025-02-19,East,Port Harcourt,Retail,Online,Blender B10,Home Appliances,30000,5,David,24000
2025-02-18,East,Abuja,Retail,Store,Microwave M20,Home Appliances,60000,3,Aisha,48000
2025-02-03,West,Abuja,Retail,Online,Microwave M20,Home Appliances,60000,6,Chidinma,48000
2025-01-14,South,Kano,Corporate,Online,Desktop PC D21,Electronics,300000,2,Chidinma,240000
2025-01-23,West,Kano,Retail,Online,Printer P50,Electronics,150000,7,David,120000
2025-04-19,North,Kano,Corporate,Store,Refrigerator R55,Home Appliances,220000,3,Musa,176000
2025-01-06,West,Kano,Retail,Store,Microwave M20,Home Appliances,60000,9,Peter,48000
2025-02-26,West,Lagos,Corporate,Store,Sofa Classic,Furniture,320000,2,Musa,256000
2025-02-09,West,Kano,Corporate,Online,Refrigerator R55,Home Appliances,220000,5,Chidinma,176000
2025-01-23,West,Port Harcourt,Corporate,Online,Printer P50,Electronics,150000,1,Grace,120000
2025-02-13,South,Lagos,Retail,Store,Desktop PC D21,Electronics,300000,8,Chidinma,240000
2025-02-20,East,Abuja,Retail,Online,Refrigerator R55,Home Appliances,220000,3,Aisha,176000
2025-01-15,West,Port Harcourt,Retail,Online,Smartphone Z10,Electronics,250000,8,Chidinma,200000
2025-04-19,South,Lagos,Corporate,Online,Desktop PC D21,Electronics,300000,4,Musa,240000
2025-05-01,South,Kano,Corporate,Store,Desktop PC D21,Electronics,300000,1,Musa,240000
2025-04-27,East,Abuja,Retail,Online,Smartphone Z10,Electronics,250000,8,Musa,200000
2025-03-04,West,Abuja,Corporate,Store,Air Conditioner X2,Home Appliances,180000,2,Aisha,144000
2025-02-03,West,Abuja,Retail,Store,Air Conditioner X2,Home Appliances,180000,6,Musa,144000
2025-02-16,North,Lagos,Corporate,Online,Desktop PC D21,Electronics,300000,2,Musa,240000
2025-04-29,East,Port Harcourt,Corporate,Store,Printer P50,Electronics,150000,6,Chidinma,120000
2025-03-06,South,Lagos,Corporate,Store,Laptop A13,Electronics,420000,10,Chidinma,336000
2025-04-30,East,Kano,Retail,Online,Laptop A13,Electronics,420000,8,Musa,336000
2025-01-20,South,Lagos,Retail,Store,Air Conditioner X2,Home Appliances,180000,8,Chidinma,144000
2025-01-03,South,Kano,Retail,Store,Desktop PC D21,Electronics,300000,4,Aisha,240000
2025-01-15,South,Kano,Retail,Store,Laptop A13,Electronics,420000,1,Peter,336000
2025-03-20,West,Kano,Corporate,Online,Blender B10,Home Appliances,30000,7,Musa,24000
2025-02-26,South,Port Harcourt,Retail,Online,Laptop A13,Electronics,420000,3,Musa,336000
2025-04-28,South,Port Harcourt,Retail,Store,Microwave M20,Home Appliances,60000,5,Grace,48000
2025-04-21,West,Abuja,Corporate,Online,Desktop PC D21,Electronics,300000,9,Grace,240000
2025-04-26,East,Kano,Retail,Store,Sofa Classic,Furniture,320000,4,Peter,256000
2025-01-28,North,Lagos,Retail,Store,Air Conditioner X2,Home Appliances,180000,2,Grace,144000
2025-02-24,East,Lagos,Retail,Online,Office Chair Pro,Furniture,85000,1,Peter,68000
2025-02-11,North,Kano,Corporate,Store,Sofa Classic,Furniture,320000,7,Peter,256000
2025-02-08,East,Abuja,Corporate,Online,Microwave M20,Home Appliances,60000,9,Chidinma,48000
2025-01-03,North,Abuja,Corporate,Store,Office Chair Pro,Furniture,85000,1,David,68000
2025-03-26,East,Lagos,Retail,Online,Desktop PC D21,Electronics,300000,6,Grace,240000
2025-01-17,North,Lagos,Corporate,Online,Blender B10,Home Appliances,30000,5,Chidinma,24000
2025-03-09,North,Port Harcourt,Retail,Store,Printer P50,Electronics,150000,4,Aisha,120000
2025-03-26,South,Port Harcourt,Corporate,Store,Printer P50,Electronics,150000,6,Aisha,120000
2025-04-19,North,Lagos,Corporate,Store,Printer P50,Electronics,150000,8,Aisha,120000
2025-01-16,South,Lagos,Retail,Store,Blender B10,Home Appliances,30000,6,Chidinma,24000
2025-01-21,West,Lagos,Retail,Online,Smartphone Z10,Electronics,250000,3,Peter,200000
2025-03-14,South,Lagos,Corporate,Online,Printer P50,Electronics,150000,5,Chidinma,120000
2025-03-18,West,Lagos,Retail,Online,Refrigerator R55,Home Appliances,220000,1,Aisha,176000
2025-01-13,North,Lagos,Retail,Store,Sofa Classic,Furniture,320000,10,Peter,256000
2025-01-26,South,Port Harcourt,Corporate,Store,Microwave M20,Home Appliances,60000,5,David,48000
2025-04-10,East,Abuja,Retail,Store,Printer P50,Electronics,150000,7,Grace,120000
2025-04-27,North,Kano,Retail,Online,Microwave M20,Home Appliances,60000,7,Musa,48000
2025-02-10,North,Port Harcourt,Corporate,Store,Refrigerator R55,Home Appliances,220000,4,Peter,176000
2025-02-21,East,Kano,Corporate,Store,Smartphone Z10,Electronics,250000,6,David,200000
2025-03-07,North,Port Harcourt,Corporate,Online,Laptop A13,Electronics,420000,10,Chidinma,336000
2025-03-30,East,Port Harcourt,Retail,Online,Blender B10,Home Appliances,30000,9,Grace,24000
2025-03-21,West,Kano,Retail,Store,Air Conditioner X2,Home Appliances,180000,8,Musa,144000
2025-01-23,North,Lagos,Retail,Online,Laptop A13,Electronics,420000,5,Aisha,336000
2025-01-09,West,Port Harcourt,Corporate,Online,Microwave M20,Home Appliances,60000,9,Chidinma,48000
2025-02-12,South,Kano,Corporate,Store,Office Chair Pro,Furniture,85000,5,David,68000
2025-04-05,South,Kano,Corporate,Online,Office Chair Pro,Furniture,85000,1,Musa,68000
2025-01-26,East,Lagos,Retail,Store,Microwave M20,Home Appliances,60000,8,Peter,48000
2025-04-27,West,Kano,Corporate,Online,Printer P50,Electronics,150000,5,Aisha,120000
2025-03-30,West,Abuja,Retail,Online,Sofa Classic,Furniture,320000,10,Peter,256000
2025-01-29,West,Abuja,Corporate,Online,Smartphone Z10,Electronics,250000,6,Grace,200000
2025-01-21,South,Kano,Corporate,Online,Printer P50,Electronics,150000,3,Chidinma,120000
2025-03-21,West,Lagos,Corporate,Online,Microwave M20,Home Appliances,60000,10,Aisha,48000
2025-04-11,North,Kano,Retail,Online,Printer P50,Electronics,150000,8,Musa,120000
2025-04-28,South,Port Harcourt,Retail,Online,Smartphone Z10,Electronics,250000,7,Aisha,200000
2025-04-27,South,Abuja,Corporate,Online,Office Chair Pro,Furniture,85000,6,Peter,68000
2025-02-11,North,Port Harcourt,Corporate,Online,Air Conditioner X2,Home Appliances,180000,9,Aisha,144000
2025-03-24,West,Abuja,Corporate,Online,Blender B10,Home Appliances,30000,8,Aisha,24000
2025-01-22,South,Port Harcourt,Corporate,Store,Office Chair Pro,Furniture,85000,1,David,68000
2025-02-05,West,Abuja,Corporate,Online,Blender B10,Home Appliances,30000,8,Grace,24000
2025-01-16,North,Kano,Retail,Online,Sofa Classic,Furniture,320000,2,Aisha,256000
2025-03-15,East,Port Harcourt,Retail,Online,Printer P50,Electronics,150000,5,Aisha,120000
2025-03-23,East,Kano,Corporate,Online,Smartphone Z10,Electronics,250000,5,Grace,200000
2025-01-19,North,Abuja,Corporate,Online,Refrigerator R55,Home Appliances,220000,10,David,176000
2025-04-13,North,Kano,Corporate,Online,Microwave M20,Home Appliances,60000,2,Peter,48000
2025-01-16,North,Kano,Corporate,Store,Smartphone Z10,Electronics,250000,1,Aisha,200000
2025-01-15,West,Port Harcourt,Retail,Online,Air Conditioner X2,Home Appliances,180000,8,Grace,144000
2025-01-01,North,Lagos,Retail,Online,Printer P50,Electronics,150000,1,Chidinma,120000
2025-02-01,North,Abuja,Retail,Online,Blender B10,Home Appliances,30000,6,David,24000
2025-01-21,West,Port Harcourt,Corporate,Online,Refrigerator R55,Home Appliances,220000,10,Grace,176000
2025-01-17,West,Port Harcourt,Retail,Store,Laptop A13,Electronics,420000,1,David,336000
2025-01-14,West,Lagos,Corporate,Store,Desktop PC D21,Electronics,300000,8,David,240000
2025-02-26,North,Abuja,Corporate,Online,Smartphone Z10,Electronics,250000,3,Chidinma,200000
2025-03-13,West,Abuja,Corporate,Online,Desktop PC D21,Electronics,300000,4,Peter,240000
2025-04-02,West,Kano,Retail,Online,Printer P50,Electronics,150000,6,Peter,120000
2025-04-14,West,Abuja,Retail,Online,Laptop A13,Electronics,420000,2,Chidinma,336000
2025-01-27,South,Lagos,Retail,Online,Refrigerator R55,Home Appliances,220000,1,David,176000
2025-04-17,South,Abuja,Retail,Store,Refrigerator R55,Home Appliances,220000,8,Aisha,176000
2025-03-19,North,Kano,Retail,Store,Blender B10,Home Appliances,30000,10,Grace,24000
2025-03-02,North,Lagos,Corporate,Online,Blender B10,Home Appliances,30000,4,Grace,24000
2025-04-07,West,Port Harcourt,Corporate,Online,Air Conditioner X2,Home Appliances,180000,6,Chidinma,144000
2025-04-03,West,Abuja,Corporate,Online,Desktop PC D21,Electronics,300000,2,Grace,240000
2025-01-27,East,Lagos,Retail,Online,Printer P50,Electronics,150000,9,Chidinma,120000
2025-03-30,North,Port Harcourt,Retail,Store,Printer P50,Electronics,150000,9,David,120000
2025-02-07,West,Port Harcourt,Retail,Online,Blender B10,Home Appliances,30000,4,Chidinma,24000
2025-05-01,East,Kano,Corporate,Online,Microwave M20,Home Appliances,60000,9,Musa,48000
2025-01-10,South,Lagos,Retail,Store,Desktop PC D21,Electronics,300000,9,Musa,240000
2025-04-21,North,Abuja,Retail,Online,Sofa Classic,Furniture,320000,3,Grace,256000
2025-04-25,West,Port Harcourt,Retail,Online,Printer P50,Electronics,150000,1,Chidinma,120000
2025-04-02,North,Lagos,Corporate,Online,Desktop PC D21,Electronics,300000,9,Musa,240000
2025-01-14,East,Lagos,Retail,Online,Refrigerator R55,Home Appliances,220000,3,David,176000
2025-04-19,West,Kano,Corporate,Online,Refrigerator R55,Home Appliances,220000,9,Grace,176000
2025-01-07,East,Kano,Corporate,Store,Microwave M20,Home Appliances,60000,6,Grace,48000
2025-02-04,North,Kano,Retail,Store,Blender B10,Home Appliances,30000,10,Peter,24000
2025-01-02,South,Kano,Corporate,Store,Laptop A13,Electronics,420000,8,Grace,336000
2025-03-26,South,Kano,Corporate,Online,Microwave M20,Home Appliances,60000,9,Chidinma,48000
2025-01-18,East,Kano,Corporate,Online,Smartphone Z10,Electronics,250000,1,Peter,200000
2025-02-23,South,Kano,Retail,Online,Microwave M20,Home Appliances,60000,1,Grace,48000
2025-04-16,South,Abuja,Retail,Online,Laptop A13,Electronics,420000,8,Grace,336000
2025-02-03,South,Port Harcourt,Corporate,Store,Air Conditioner X2,Home Appliances,180000,4,Grace,144000
2025-03-17,East,Kano,Retail,Store,Air Conditioner X2,Home Appliances,180000,7,Grace,144000
2025-01-03,North,Kano,Retail,Online,Blender B10,Home Appliances,30000,6,Aisha,24000
2025-02-20,East,Port Harcourt,Retail,Online,Air Conditioner X2,Home Appliances,180000,4,David,144000
2025-04-25,East,Abuja,Corporate,Store,Desktop PC D21,Electronics,300000,3,Musa,240000
2025-01-21,West,Lagos,Retail,Online,Microwave M20,Home Appliances,60000,3,Chidinma,48000
2025-02-20,East,Port Harcourt,Corporate,Online,Refrigerator R55,Home Appliances,220000,1,Musa,176000
2025-02-05,North,Lagos,Retail,Online,Desktop PC D21,Electronics,300000,2,David,240000
2025-03-05,South,Kano,Retail,Online,Printer P50,Electronics,150000,3,David,120000
2025-02-04,North,Lagos,Corporate,Online,Office Chair Pro,Furniture,85000,1,David,68000
2025-01-02,South,Lagos,Retail,Store,Blender B10,Home Appliances,30000,6,Chidinma,24000
2025-03-02,West,Kano,Corporate,Online,Printer P50,Electronics,150000,5,Musa,120000
2025-04-19,West,Lagos,Retail,Store,Blender B10,Home Appliances,30000,5,Aisha,24000
2025-04-12,East,Lagos,Retail,Store,Air Conditioner X2,Home Appliances,180000,9,Grace,144000
2025-02-05,North,Kano,Corporate,Store,Microwave M20,Home Appliances,60000,6,Musa,48000
2025-03-19,North,Lagos,Retail,Store,Smartphone Z10,Electronics,250000,10,David,200000
2025-02-04,South,Kano,Retail,Store,Laptop A13,Electronics,420000,3,David,336000
2025-01-12,North,Port Harcourt,Corporate,Store,Printer P50,Electronics,150000,3,David,120000
2025-03-31,South,Abuja,Corporate,Store,Refrigerator R55,Home Appliances,220000,4,David,176000
2025-01-01,South,Lagos,Corporate,Store,Office Chair Pro,Furniture,85000,10,David,68000
2025-03-20,North,Kano,Retail,Store,Desktop PC D21,Electronics,300000,6,Grace,240000
2025-02-25,West,Port Harcourt,Retail,Online,Desktop PC D21,Electronics,300000,8,Aisha,240000
2025-02-03,South,Abuja,Corporate,Store,Sofa Classic,Furniture,320000,4,Musa,256000
2025-04-06,South,Lagos,Corporate,Online,Air Conditioner X2,Home Appliances,180000,5,Grace,144000
2025-01-01,West,Port Harcourt,Retail,Store,Air Conditioner X2,Home Appliances,180000,6,Peter,144000
2025-03-15,East,Kano,Corporate,Store,Printer P50,Electronics,150000,9,Musa,120000
2025-01-31,West,Port Harcourt,Retail,Online,Printer P50,Electronics,150000,1,Peter,120000
2025-01-12,East,Kano,Retail,Online,Air Conditioner X2,Home Appliances,180000,8,Peter,144000
2025-03-11,West,Port Harcourt,Retail,Store,Air Conditioner X2,Home Appliances,180000,6,Musa,144000
2025-04-11,North,Abuja,Corporate,Online,Air Conditioner X2,Home Appliances,180000,3,Aisha,144000
2025-03-14,North,Kano,Retail,Online,Printer P50,Electronics,150000,10,Chidinma,120000
2025-04-12,South,Kano,Retail,Store,Air Conditioner X2,Home Appliances,180000,8,Aisha,144000
2025-02-20,West,Kano,Retail,Store,Desktop PC D21,Electronics,300000,8,Musa,240000
2025-02-05,West,Kano,Retail,Store,Sofa Classic,Furniture,320000,9,Peter,256000
2025-01-18,South,Kano,Retail,Online,Sofa Classic,Furniture,320000,7,Grace,256000
2025-04-26,East,Abuja,Retail,Online,Printer P50,Electronics,150000,7,David,120000
2025-01-21,East,Abuja,Retail,Store,Refrigerator R55,Home Appliances,220000,6,Grace,176000
2025-03-16,North,Lagos,Retail,Online,Smartphone Z10,Electronics,250000,1,Peter,200000
2025-03-18,West,Lagos,Retail,Online,Microwave M20,Home Appliances,60000,4,David,48000
2025-01-02,North,Lagos,Retail,Online,Office Chair Pro,Furniture,85000,9,David,68000
2025-03-02,West,Port Harcourt,Retail,Online,Air Conditioner X2,Home Appliances,180000,5,Chidinma,144000
2025-01-24,West,Lagos,Retail,Store,Printer P50,Electronics,150000,4,Chidinma,120000
2025-02-15,North,Lagos,Retail,Online,Printer P50,Electronics,150000,4,Musa,120000
2025-04-16,East,Lagos,Corporate,Online,Blender B10,Home Appliances,30000,2,Musa,24000
2025-04-24,South,Abuja,Corporate,Online,Air Conditioner X2,Home Appliances,180000,6,Aisha,144000
2025-04-10,North,Kano,Corporate,Store,Microwave M20,Home Appliances,60000,9,Grace,48000
2025-03-03,South,Port Harcourt,Retail,Online,Printer P50,Electronics,150000,3,David,120000
2025-04-18,North,Lagos,Retail,Online,Office Chair Pro,Furniture,85000,3,Musa,68000
2025-04-03,East,Port Harcourt,Corporate,Store,Blender B10,Home Appliances,30000,3,Peter,24000
2025-03-08,East,Kano,Corporate,Online,Office Chair Pro,Furniture,85000,2,Chidinma,68000
2025-01-10,West,Abuja,Corporate,Online,Blender B10,Home Appliances,30000,6,Chidinma,24000
2025-04-28,West,Abuja,Corporate,Online,Sofa Classic,Furniture,320000,1,Chidinma,256000
2025-04-19,South,Lagos,Retail,Store,Laptop A13,Electronics,420000,5,Aisha,336000
2025-04-02,West,Abuja,Retail,Store,Blender B10,Home Appliances,30000,9,Grace,24000
2025-01-18,South,Abuja,Retail,Online,Microwave M20,Home Appliances,60000,8,Aisha,48000
2025-01-10,West,Kano,Retail,Online,Desktop PC D21,Electronics,300000,2,Musa,240000
2025-03-16,South,Port Harcourt,Retail,Online,Refrigerator R55,Home Appliances,220000,7,Musa,176000
2025-02-08,North,Lagos,Corporate,Store,Desktop PC D21,Electronics,300000,8,Chidinma,240000
2025-02-12,East,Lagos,Corporate,Store,Laptop A13,Electronics,420000,10,Peter,336000
2025-04-10,East,Abuja,Corporate,Online,Desktop PC D21,Electronics,300000,2,Peter,240000
2025-02-07,East,Lagos,Corporate,Online,Refrigerator R55,Home Appliances,220000,3,Musa,176000
2025-02-03,East,Kano,Corporate,Store,Office Chair Pro,Furniture,85000,6,David,68000
2025-02-24,North,Abuja,Corporate,Online,Sofa Classic,Furniture,320000,10,Grace,256000
2025-01-03,East,Port Harcourt,Corporate,Online,Desktop PC D21,Electronics,300000,2,David,240000
2025-03-19,South,Port Harcourt,Corporate,Store,Blender B10,Home Appliances,30000,6,Grace,24000
2025-02-14,South,Port Harcourt,Corporate,Store,Microwave M20,Home Appliances,60000,2,Musa,48000
2025-01-03,North,Kano,Retail,Online,Refrigerator R55,Home Appliances,220000,5,Chidinma,176000
2025-02-05,West,Abuja,Retail,Store,Air Conditioner X2,Home Appliances,180000,6,Grace,144000
2025-04-15,North,Port Harcourt,Retail,Online,Smartphone Z10,Electronics,250000,4,Peter,200000
2025-03-09,North,Kano,Corporate,Online,Office Chair Pro,Furniture,85000,10,David,68000
2025-03-18,West,Lagos,Retail,Online,Desktop PC D21,Electronics,300000,6,David,240000
2025-01-15,North,Lagos,Corporate,Store,Refrigerator R55,Home Appliances,220000,3,Chidinma,176000
2025-01-06,North,Kano,Retail,Store,Blender B10,Home Appliances,30000,8,Grace,24000
2025-03-11,North,Port Harcourt,Corporate,Online,Office Chair Pro,Furniture,85000,2,Chidinma,68000
2025-02-01,South,Abuja,Retail,Store,Printer P50,Electronics,150000,3,Peter,120000
2025-03-26,East,Abuja,Retail,Store,Office Chair Pro,Furniture,85000,1,Aisha,68000
2025-02-24,South,Port Harcourt,Corporate,Store,Smartphone Z10,Electronics,250000,3,Grace,200000
2025-04-01,East,Port Harcourt,Corporate,Store,Laptop A13,Electronics,420000,2,Chidinma,336000
2025-03-08,West,Kano,Retail,Online,Printer P50,Electronics,150000,9,Musa,120000
2025-01-16,North,Abuja,Retail,Store,Blender B10,Home Appliances,30000,9,David,24000
2025-04-03,East,Lagos,Corporate,Store,Refrigerator R55,Home Appliances,220000,6,Grace,176000
2025-04-02,North,Kano,Corporate,Store,Blender B10,Home Appliances,30000,3,Grace,24000
2025-02-01,West,Kano,Retail,Online,Laptop A13,Electronics,420000,10,David,336000
2025-04-12,North,Abuja,Corporate,Online,Blender B10,Home Appliances,30000,2,Aisha,24000
2025-02-03,East,Port Harcourt,Corporate,Store,Printer P50,Electronics,150000,5,David,120000
2025-04-16,South,Abuja,Retail,Store,Printer P50,Electronics,150000,10,Aisha,120000
2025-01-11,West,Abuja,Corporate,Online,Air Conditioner X2,Home Appliances,180000,3,David,144000
2025-02-02,East,Kano,Corporate,Online,Blender B10,Home Appliances,30000,10,Musa,24000
2025-01-04,East,Port Harcourt,Retail,Online,Laptop A13,Electronics,420000,2,Musa,336000
2025-03-14,South,Port Harcourt,Corporate,Online,Sofa Classic,Furniture,320000,1,Peter,256000
2025-03-27,North,Lagos,Retail,Online,Printer P50,Electronics,150000,2,Musa,120000
2025-04-25,East,Lagos,Corporate,Store,Blender B10,Home Appliances,30000,9,Grace,24000
2025-02-26,West,Lagos,Retail,Online,Office Chair Pro,Furniture,85000,7,Peter,68000
2025-02-02,North,Port Harcourt,Corporate,Online,Printer P50,Electronics,150000,5,David,120000
2025-01-01,West,Kano,Retail,Store,Sofa Classic,Furniture,320000,9,Chidinma,256000
2025-03-06,North,Lagos,Retail,Online,Sofa Classic,Furniture,320000,10,Peter,256000
2025-01-03,North,Kano,Corporate,Online,Office Chair Pro,Furniture,85000,7,Peter,68000
2025-04-21,South,Kano,Retail,Online,Microwave M20,Home Appliances,60000,4,Peter,48000
2025-04-04,East,Kano,Retail,Store,Microwave M20,Home Appliances,60000,7,David,48000
2025-04-08,South,Lagos,Corporate,Online,Printer P50,Electronics,150000,7,Grace,120000
2025-04-22,West,Lagos,Retail,Online,Office Chair Pro,Furniture,85000,3,David,68000
2025-03-19,South,Abuja,Retail,Online,Office Chair Pro,Furniture,85000,10,Musa,68000
2025-04-22,East,Lagos,Corporate,Store,Desktop PC D21,Electronics,300000,10,David,240000
2025-03-20,South,Abuja,Retail,Store,Microwave M20,Home Appliances,60000,3,Chidinma,48000
2025-02-27,East,Port Harcourt,Corporate,Online,Microwave M20,Home Appliances,60000,3,David,48000
2025-01-20,West,Lagos,Retail,Online,Office Chair Pro,Furniture,85000,6,David,68000
2025-04-24,East,Kano,Corporate,Store,Laptop A13,Electronics,420000,2,Aisha,336000
2025-02-15,North,Abuja,Retail,Store,Smartphone Z10,Electronics,250000,6,Grace,200000
